protein name	cluster
ZNF446	195
ZSCAN16	195
ZKSCAN4	195
ZSCAN12	195
ZSCAN18	195
PGBD1	195
ZSCAN29	195
ZSCAN32	195
ZNF496	195
ZSCAN21	195
ZNF232	195
ZNF24	195
ZNF483	195
ZNF396	195
ZNF397	195
ZSCAN30	195
ZSCAN23	195
SEC22C	195
RNF186	195
ZSCAN25	195
ZNF174	195
ZNF449	195
RER1	195
ZKSCAN7	195
ATP6V1C2	196
PBLD	196
VAV3	196
INTS2	196
GAB2	196
GRAP2	196
GRB2	196
NCK2	196
FADD	196
SH3KBP1	196
CUEDC1	196
OSTF1	196
ONECUT3	196
PAK2	196
KCTD17	196
CHN2	196
WASF1	196
FAM53C	196
CHN1	196
ZNF341	196
BTG1	196
GAREM1	196
EIF3H	196
KIAA0408	196
CD3E	196
ZBTB12	196
NCK1	196
ANKK1	196
C11orf68	196
TLE5	197
VPS37B	197
EYA2	197
C7orf57	197
HOXC9	197
VGLL1	197
SMARCB1	197
PATZ1	197
RAMAC	197
WDR25	197
THAP7	197
CRACR2A	197
ZIM2	197
TCF7L2	197
PHC2	197
ETFDH	197
SOX5	197
SIX1	197
TP53BP1	197
STH	197
RUNX1	197
MLLT6	197
MYH7B	197
ABHD11	197
PNMA3	197
TLE3	197
KLF1	197
IRX6	197
KLF4	197
ASB3	197
IRX2	197
SIX2	197
GOLGA2	198
BLZF1	198
POF1B	198
AJUBA	198
FXR1	198
FXR2	198
HOOK2	198
CCDC88B	198
CNTROB	198
ZBTB10	198
HAP1	198
LMNB2	198
SF3B4	198
RBM22	198
CEP83	198
CDR2	198
ARL4A	198
METTL27	198
SOCS7	198
EVI5L	198
KIF24	198
LRRC73	198
RANBP3L	198
