protein name	cluster
PACRGL	240
APCS	240
GRP	240
ZNF300	240
UROC1	240
OR52L1	240
SAT1	241
SAT2	241
COX6C	241
DIPK1B	241
CASP7	241
ABHD15	241
KCNA4	241
LYRM7	241
YES1	242
PTK2	242
DOK2	242
STAP2	242
SOCS3	242
SOCS2	242
CBLC	242
DENND2C	242
MFF	243
PEDS1-UBE2V1	243
OPN1SW	243
NTS	243
TM6SF1	243
MAGED4B	243
CEND1	243
MPZL1	243
NFYC	244
SAE1	244
APOL4	244
ELF1	244
CIART	244
BDH2	244
KLF11	244
POU6F1	244
PPM1F	245
KLHL8	245
PNMT	245
CA8	245
TEX101	245
ARMC9	245
RLBP1	245
TP53I13	245
ZNF775	246
EHMT2	246
EPDR1	246
KLF3	246
HIC2	246
KLF12	246
ZNF462	246
ATF7IP	246
MX2	246
CFLAR	247
TRAF1	247
DOK3	247
LRRN1	247
LCOR	247
ZNF502	247
ZNF627	247
TBC1D8	247
RORB	247
SIVA1	248
TEX11	248
ING3	248
DMTN	248
CEP85L	248
LRCH2	248
FAM217A	248
LRRC36	248
SCAF8	248
TRIP13	249
SHARPIN	249
DCTN3	249
IL2RB	249
AMDHD2	249
MYEOV	249
CDIN1	249
DDAH2	249
GNPDA2	249
C14orf119	250
FLACC1	250
CDC14A	250
NRIP3	250
SYCP3	250
PHACTR1	250
AUNIP	250
SSX4	250
SSX4B	250
LAP3	251
CBX5	251
CBX3	251
GDF15	251
ZNF280C	251
CBX1	251
ZNF280D	251
PRR14	251
ADNP2	251
ANKRD46	252
VTI1B	252
EFNB1	252
CD46	252
IFNLR1	252
EFNB2	252
SECTM1	252
ST6GALNAC6	252
CLEC4D	252
RPS6KA2	253
MAPK1	253
MKNK1	253
CREM	253
PTPDC1	253
MAPK3	253
PTPRR	253
PEA15	253
FRS2	253
CDC45	254
RAB4B	254
RAB4B-EGLN2	254
EXOC5	254
CRYBB1	254
RAB14	254
EXOC6	254
EXOC6B	254
FAM71C	254
TFPT	255
STK3	255
RASSF1	255
RASSF2	255
RASSF4	255
MOB3B	255
SAV1	255
SNIP1	255
MOB1B	255
HBQ1	256
HBZ	256
RFESD	256
HBA2	256
HBG2	256
HBA1	256
HBE1	256
HBD	256
HBB	256
PARVG	257
NEIL2	257
CXorf38	257
ALX4	257
TRIB2	257
CSF3	257
TBX3	257
NBPF6	257
CDHR3	257
ZNF219	258
CDKL3	258
AP1M1	258
ZNF707	258
BRD1	258
CASP8	258
NKAP	258
MEA1	258
SPATA6	258
RNF2	259
RING1	259
ZIM3	259
PHC1	259
BMI1	259
PCGF2	259
PCGF3	259
PCGF6	259
PCGF5	259
TEPSIN	260
SLU7	260
ZNF576	260
PCDHB3	260
AP4B1	260
AGRN	260
AATK	260
LYG2	260
SZT2	260
MATR3	261
PTBP2	261
SNRPA	261
MRPL15	261
DAZAP1	261
TRIR	261
SNRPA1	261
MBNL2	261
RBM4B	261
ZMYM5	262
UBE2I	262
DDX39A	262
AKAP17A	262
CBS	262
CBSL	262
CHMP4A	262
SRSF4	262
DPPA2	262
FATE1	263
CALN1	263
GINM1	263
CD83	263
CTRL	263
NRG4	263
MARCHF3	263
MARVELD2	263
VSIG4	263
HNRNPC	264
IFT57	264
HNRNPCL1	264
HNRNPCL2	264
RALY	264
RALYL	264
PPP1R37	264
TIGD3	264
SKA2	264
KLHL12	265
KLHL24	265
PDGFRB	265
PLEKHA4	265
TBC1D10C	265
DVL1	265
TTBK2	265
VEGFB	265
INMT	265
DYNLT1	266
DNAJA2	266
DYNC1I2	266
CCDC68	266
DYNLT2B	266
PTH2R	266
RRAGA	266
ACOX2	266
KLK15	266
C11orf65	267
CALM2	267
CALM3	267
CALM1	267
IQCE	267
KCNN1	267
IQCG	267
IQCN	267
SPATA17	267
GTF2A1	268
CDK13	268
TRIM7	268
BCAM	268
RNASE1	268
NAA35	268
GTF2A2	268
TRMT10A	268
CRYGC	268
CTAG1B	269
CTAG1A	269
BORCS8-MEF2B	269
KIF26A	269
BORCS8	269
POLM	269
CAMSAP1	269
LAMTOR1	269
LONRF3	269
ARHGEF28	269
DMC1	270
SDCBP2	270
CT45A1	270
NOP56	270
PRM2	270
LYAR	270
RPL22L1	270
RPL41	270
CT45A3	270
CT45A10	270
CLK1	271
SRSF10	271
HOXC4	271
CLK3	271
ZNF777	271
HOXB6	271
OAS2	271
SRSF8	271
SAG	271
HOXB7	271
UBE2F	272
IKBKG	272
LCN2	272
POMC	272
XRN2	272
CTDSP2	272
HDDC2	272
ALDH7A1	272
PDIA4	272
CLMP	272
CARHSP1	273
STRN3	273
PPP2R5B	273
PPP2R1A	273
PTPA	273
PPP2R5D	273
STRN	273
GOLGA8F	273
FBXO43	273
CSDC2	273
PPP1R11	274
PPP1R8	274
PPP1R3C	274
PPP1CB	274
PPP1CA	274
PPP1R2C	274
